Name	Degree	NorDegree
Gov_owned	1	0.0127795527157
Lottery	6	0.0338658146965
nb-shopping	3	0.214696485623
Jay	3	0.0325878594249
barterbooks	1	0.782108626198
Lifeismoney	2	0.21661341853
DigiCurrency	60	0.0428115015974
SwimWear	7	0.0153354632588
biker	1	0.367412140575
Zhongshan	2	0.0728434504792
JJ	3	0.00191693290735
DiabloEX	3	0.0632587859425
Bank_Service	3	0.102236421725
WomenTalk	8	3.19616613419
Digitalhome	3	0.0415335463259
Brand	4	0.00766773162939
Broker	2	0.00638977635783
Taurus	1	0.0178913738019
book	29	0.10607028754
Starbucks	1	0.00766773162939
EXO	1	0.0306709265176
THSRshare	19	0.0453674121406
BigShiLin	19	0.0964856230032
NBAJerseys	4	0.0140575079872
TuCheng	1	0.0658146964856
Drum	1	0.00575079872204
NCU_Talk	15	0.0300319488818
BeautySalon	4	0.108626198083
Lakers	2	0.0313099041534
Perfume	3	0.0274760383387
BigPeitou	1	0.0658146964856
iPhone	2	0.254313099042
Gossiping	20	19.1233226837
KimSooHyun	1	0.00255591054313
Steam	15	0.237060702875
Taipei	2	0.254952076677
BigSanchung	2	0.175079872204
TaichungCont	1	0.0460063897764
bag	2	0.0102236421725
IntlShopping	4	0.00894568690096
Hate	123	11.3265175719
Actuary	2	0.0166134185304
SailorMoon	1	0.0300319488818
e-coupon	152	0.493290734824
hair_loss	1	0.00447284345048
Jewelry	7	0.0261980830671
ShuangHe	2	0.218530351438
France	1	0.00702875399361
ID_GetBack	1	0.000638977635783
SENIORHIGH	1	0.157827476038
Kaohsiung	8	1.02747603834
Keelung	11	0.073482428115
Japan_Living	1	0.00511182108626
mobilesales	25	0.683067092652
StupidClown	4	0.259424920128
exchange_3C	1	0.00766773162939
WuBai_and_CB	5	0.00766773162939
BuyTogether	37	0.613418530351
DC_SALE	16	0.156549520767
MacShop	27	0.684984025559
photo-buy	4	0.0428115015974
IC-Card	3	0.0690095846645
Korea_Travel	5	0.0849840255591
Oneday	1	0.00127795527157
Singapore	2	0.0223642172524
MakeUp	6	0.0830670926518
guitar	1	0.0421725239617
job	3	0.0984025559105
Gamesale	28	0.915654952077
ManCity	1	0.119488817891
BabyMother	18	0.345047923323
ask	6	0.564217252396
TaichungBun	9	0.651757188498
MabinogiHero	2	0.0370607028754
hairdo	3	0.0920127795527
TKU_info	6	0.00766773162939
Audiophile	1	0.082428115016
CNBLUE	2	0.0242811501597
Ind-travel	1	0.243450479233
Headphone	9	0.101597444089
travelbooks	1	0.0153354632588
forsale	1409	12.2313099042
travel	3	0.452396166134
car-pool	13	0.102875399361
littlegift	1	0.0376996805112
Shu-Lin	1	0.0472843450479
bi-sexual	3	0.0249201277955
BabyProducts	48	0.972523961661
LoL	3	2.79744408946
toberich	6	0.0945686900958
Chiayi	2	0.113099041534
IkutaToma	22	0.0153354632588
HsinChuang	4	0.17571884984
Aussiekiwi	3	0.0268370607029
friends	9	0.328434504792
I-Lan	2	0.117571884984
give	9	0.760383386581
feminine_sex	1	0.00766773162939
LinKou	2	0.0638977635783
Baseball	5	4.78274760383
Wanted	60	8.00511182109
Perfume_Shop	24	0.251118210863
MLB_Jersey	4	0.0274760383387
PC_Shopping	2	0.240255591054
CareerPlan	1	0.0313099041534
einvoice	6	0.0619808306709
Stall	2	0.0159744408946
BeautyMarket	196	1.06645367412
Nangang	1	0.0817891373802
Stella-Chang	5	0.00638977635783
Clothes	114	4.04728434505
LivingGoods	2	0.0210862619808
Tour-Agency	1	0.0696485623003
Suit_Style	5	0.00958466453674
car	2	0.631309904153
BikerShop	12	0.626837060703
NTU_GoodLife	2	0.311821086262
sex	3	1.20830670927
cat	3	0.15910543131
CarShop	2	0.0862619808307
FAPL	14	2.25431309904
marriage	2	0.215335463259
SportLottery	4	0.194249201278
Japan_Travel	17	0.669009584665
Broad_Band	1	0.0121405750799
Insurance	2	0.0498402555911
HsinYi	1	0.0632587859425
AC_Sale	2	0.0632587859425
MysticWiz	3	0.0568690095847
Chicago	1	0.00127795527157
Drama-Ticket	192	1.39808306709
tax	4	0.067731629393
CVS	3	0.088178913738
IELTS	2	0.0287539936102
equal_change	2	0.494568690096
WorkanTravel	24	0.0562300319489
Daan	4	0.120766773163
KR_Entertain	1	1.56869009585
Chat82gether	4	0.545686900958
Stock	1	0.550159744409
LA	1	0.0185303514377
Food	4	0.792971246006
Road_Running	1	0.0913738019169
EuropeTravel	2	0.0856230031949
creditcard	19	0.286261980831
points	18	0.0696485623003
GetMarry	1	0.146325878594
Teacher	2	0.0926517571885
Tainan	9	1.17252396166
San-X	12	0.0172523961661
SportsShop	4	0.15910543131
watch	7	0.0856230031949
Neihu	21	0.326517571885
GirlComics	1	0.00255591054313
E-appliance	6	0.115654952077
JPliterature	1	0.00191693290735
PttEarnMoney	177	9.04856230032
BigBanciao	4	0.189137380192
e-shopping	10	0.182108626198
Hualien	1	0.0722044728435
Nantou	2	0.0760383386581
SlamDunk	6	0.00511182108626
MuscleBeach	2	0.193610223642
e-seller	14	0.0255591054313
San-Ying	1	0.0306709265176
Taoyuan	6	0.347603833866
part-time	1	0.385942492013
Hsinchu	2	0.42428115016
ChangHua	1	0.288817891374
Accounting	21	0.103514376997
HardwareSale	18	0.65303514377
talk	20	3.15335463259
marvel	1	0.175079872204
